iterations,auc1,auc0,auc2,auc3,auc4,auc5,auc6,auc7,auc8,auc9,auc10,auc11,auc12,auc13,auc14
20,0.89435311338813195,0.92260061919504643,0.89711134453781516,0.88674738042238987,0.88172539225799451,0.87210419558022845,0.90720081135902642,0.88016628800696084,0.89635702263966555,0.9012498592500845,0.91601635079895949,0.89753923347923559,0.88884076433121018,0.90634556574923553,0.90087478783130959
40,0.90628870622677626,0.93330308529945549,0.9090861344537815,0.89945165318421194,0.90135186492209129,0.88761076118287607,0.91817017188000427,0.89232368153913089,0.90610239426678973,0.91400180159891908,0.92416520677390246,0.90997651329134199,0.8978343949044586,0.92119921363040624,0.91092831962397181
60,0.91093345343992793,0.93765346428952712,0.91386554621848737,0.90401216135512241,0.90854552364406316,0.89492366819686131,0.92099925269563365,0.89817276550490643,0.90911558716542695,0.91746424952145034,0.92517385995646861,0.91510088608946305,0.89994904458598723,0.92442114460463087,0.915132523828176
80,0.91304470217317868,0.93920145190562609,0.91599264705882355,0.90640099896845649,0.91193875889027631,0.89833991672894198,0.92153304152877125,0.90063808188717553,0.91050002714588196,0.91830874901475057,0.92504114243244673,0.91819686132166112,0.90058598726114647,0.92474879860200965,0.91729990860425648
100,0.91372030176781893,0.94010889292196009,0.91772584033613447,0.90778543894891151,0.91419186709376188,0.90106223977794386,0.92198676203693819,0.9025958331319186,0.91044573538194251,0.91856209886274065,0.92382014121144551,0.92038539553752541,0.90084076433121019,0.92403888160768899,0.91923227575401489
120,0.91397365161580901,0.94040247678018574,0.91838235294117643,0.90876269069982085,0.91495195178891364,0.9026902957190136,0.92166648873705559,0.90421520761831098,0.91044573538194251,0.91805539916676049,0.9235281626585975,0.921132699903918,0.90040764331210188,0.92341087811271294,0.91991121556338951
140,0.91411440153135903,0.94016227180527379,0.91872373949579833,0.90957706715891196,0.91557630707421689,0.90333084231877869,0.92123945767054549,0.90448107507130082,0.90941419186709371,0.91813984911609048,0.92291766204809678,0.92179993594534004,0.89936305732484079,0.92234600262123201,0.91985898942420685
160,0.91402995158202904,0.94010889292196009,0.91914390756302522,0.91006569303436669,0.91587491177588365,0.90421159389345573,0.9208658054873492,0.90436022622903267,0.90838264835224491,0.91785834928499044,0.92193555237033498,0.92236041422013448,0.89913375796178341,0.9209807776321538,0.92027679853766808
180,0.91445220132867922,0.9395751040888225,0.91909138655462186,0.91047288126391224,0.91609207883164123,0.90498558770150528,0.9205989110707804,0.90462609368202251,0.90762256365709326,0.91735164958901028,0.92108616021659495,0.92326785523646848,0.8985732484076433,0.92016164263870681,0.92027679853766808
200,0.91439590136245918,0.9395217252055087,0.91885504201680668,0.91071719420163966,0.91620066235952002,0.90522579267641723,0.92003843279598596,0.90484362159810505,0.90669960367012326,0.91698569980858013,0.91999787651961562,0.92361481797800793,0.89778343949044581,0.91939711664482304,0.92038125081603339
220,0.91402995158202904,0.9390946941389986,0.91869747899159659,0.91039144361800317,0.91603778706770178,0.90493220881819147,0.91942457563787761,0.90508531928264124,0.90596666485694122,0.91571895056862962,0.91986515899559373,0.92372157574463543,0.89712101910828024,0.91896024464831805,0.92017234625930278
240,0.91357955185226891,0.93858759474751785,0.91867121848739497,0.91009283891633641,0.91647212117921706,0.90447848831002453,0.91902423401302447,0.9050128099772804,0.90523372604375918,0.91504335097398937,0.91906885385146253,0.92334792356143913,0.89673885350318472,0.91803189165574484,0.91988510249379818
260,0.91357955185226891,0.9382406320059784,0.91825105042016808,0.91017427656224548,0.91636353765133827,0.90389132059357313,0.91849044517988687,0.90559288442016728,0.90414789076497093,0.91448035131178917,0.91827254870733133,0.92334792356143913,0.89569426751592351,0.91734927916120579,0.91957174565870214
280,0.91312915212250878,0.93789366926443896,0.91811974789915962,0.90965850480482113,0.91666214235300503,0.90333084231877869,0.91806341411337677,0.90578624256779616,0.90314349313209186,0.91408625154824907,0.91747624356320012,0.92334792356143913,0.89505732484076428,0.91672127566622974,0.91965008486747613
300,0.91304470217317868,0.93773353261449766,0.91783088235294119,0.90952277539497262,0.91677072588088382,0.90303725846055305,0.91731610974698408,0.90576207279934262,0.90235626255497037,0.91372030176781893,0.91675956893348198,0.92348137076972348,0.89464968152866242,0.9165028396679773,0.91923227575401489
320,0.9127913523251886,0.93746663819792886,0.91743697478991593,0.90954992127694234,0.91660785058906569,0.9027970534856411,0.91702252588875843,0.90585875187315701,0.90186763667951575,0.91377660173403896,0.91612252481817702,0.92353474965303728,0.89416560509554144,0.91636631716906947,0.91899725812769295
340,0.91208760274743839,0.93709298601473257,0.91717436974789912,0.90998425538845762,0.91687930940876272,0.90255684851072915,0.91683569979716029,0.9061971286315077,0.90173190726966723,0.9131854520887287,0.91537930668365453,0.92337461300309598,0.89375796178343947,0.91595674967234597,0.91912782347564959
360,0.91177795293322828,0.93655919718159497,0.91636029411764708,0.90990281774254844,0.91644497529724744,0.9020497491192484,0.91648873705562084,0.90617295886305405,0.90083609316466695,0.9127913523251886,0.91479534957795827,0.92332123411978217,0.89340127388535029,0.91565640017474881,0.91884057971014488
